investor_raw,company_id,company_canonical,is_consortium,members,ownership,review_note,_count,_musd
TCL Corporation,tcl-corporation,TCL Technology,FALSE,,MIXED,"Origen SOE Huizhou; reforma mixta, gestion privada (Li Dongsheng). Propiedad mixta. Fuente: Wikipedia TCL -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=TCL Corporation), reemplaza estimacion web previa (era MIXED).",2,85
Hubei Energy,hubei-energy,Hubei Energy,FALSE,,Local SOE,SOE provincial Hubei; participacion de China Three Gorges. Verificar,1,78
Foresun Group,foresun-group,Foresun,FALSE,,POE,Privada: conglomerado (verificar). Control no confirmado,1,75
"China National Petroleum Corporation, Sinopec, and Andes Petroleum",china-national-petroleum-corporation-sin,"China National Petroleum Corporation, Sinopec, and Andes Petroleum",TRUE,china-national-petroleum-corporation|sinopec|andes-petroleum,MIXED,CONSORCIO. CNPC + Sinopec (SASAC). Andes Petroleum = JV CNPC+CNOOC. Definir atribucion,1,72
Sinovel Wind,sinovel-wind,Sinovel Wind,FALSE,,MIXED,"Privada: cotizada Shanghai (Han Junliang); historia de fraude. Verificar -> OWNERSHIP CORREGIDO a MIXED segun legacy/data/latam.json (clasificacion original ICLAC, investor=Sinovel Wind), reemplaza estimacion web previa (era POE).",1,71
Jiangsu Yanghe Brewery,jiangsu-yanghe-brewery,Jiangsu Yanghe Brewery,FALSE,,Local SOE,"Yanghe - origen SOE provincial Jiangsu (Suqian SASAC) con reforma de gestion mixta. Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Jiangsu Yanghe Brewery), reemplaza estimacion web previa (era MIXED).",1,65
CNNET,cnnet,CNNET,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,63
Dalian Huafeng Aquatic Products,dalian-huafeng-aquatic-products,Dalian Huafeng Aquatic Products,FALSE,,POE,Privada: productos acuicolas Dalian. Verificar,1,55
EverChina,everchina,EverChina,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,2,54
Geely,geely,Geely,FALSE,,POE,Privada: Zhejiang Geely Holding (Li Shufu). Fuente: Wikipedia Geely,1,54
Changyu Pioneer Wine,changyu-pioneer-wine,Changyu Pioneer Wine,FALSE,,MIXED,Yantai Changyu - origen SOE municipal Yantai con reforma mixta (EMBO + Illva Saronno). Verificar,1,50
CNTIC Trading,cntic-trading,CNTIC Trading,FALSE,,Central SOE,"CNTIC = China National Technical Import & Export Corp, filial de Genertec (SASAC central). Verificar",1,49
LiuGong Machinery,liugong-machinery,LiuGong,FALSE,,Local SOE,"Guangxi LiuGong - SOE provincial Guangxi. Fuente: Wikipedia LiuGong -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Liugong), reemplaza estimacion web previa (era SOE).",3,47
Goldwind Science & Technology,goldwind,Goldwind,FALSE,,MIXED,"Variante de Goldwind (mismo emisor, fusionado a id goldwind). -> OWNERSHIP CORREGIDO a POE (2026-07-07): hereda la correccion legacy/data/latam.json aplicada a la variante Xinjiang Goldwind del mismo company_id (ownership es por empresa, no por variante de nombre; era UNKNOWN).",1,45
Trina Solar,trina-solar,Trina Solar,FALSE,,POE,Privada: fabricante solar (Gao Jifan). Fuente: Wikipedia Trina Solar,3,43
Chihong Zinc and Germanium,chihong-zinc-and-germanium,Yunnan Chihong Zinc and Germanium,FALSE,,Central SOE,"FALSO 'and'. Filial de Yunnan Metallurgical Group / Yunnan Provincial SASAC. Verificar -> OWNERSHIP CORREGIDO a SASAC segun legacy/data/latam.json (clasificacion original ICLAC, investor=Chihong Zinc and Germanium), reemplaza estimacion web previa (era SOE).",1,42
Chongqing Shineray Motorcycle,chongqing-shineray-motorcycle,Shineray,FALSE,,POE,Privada: Chongqing Shineray Group (Gong Daxing). Verificar,1,41
CNQC,cnqc,China National Qingjian,FALSE,,UNKNOWN,CNQC International Holdings (Qingdao); control ultimo no confirmado (origen SOE Qingdao). Verificar. Typo del canonico corregido 2026-07-12 (Quingjian -> Qingjian).,2,40
23rd Metallurgical Construction Group,23rd-metallurgical-construction-group,23rd Metallurgical Construction,FALSE,,Local SOE,China 23rd Metallurgical - filial de MCC/Minmetals o SOE provincial. Verificar,3,39
Chengxin Lithium Group,chengxin-lithium-group,Chengxin Lithium,FALSE,,POE,Privada: Sichuan Chengxin Lithium cotizada (Yi Ruiyao). Verificar,1,38
Gree,gree,Gree Electric,FALSE,,POE,"Origen SOE Zhuhai; tras 2019 mayor accionista Hillhouse (privado), gestion privada. Propiedad mixta. Fuente: Wikipedia Gree -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Gree), reemplaza estimacion web previa (era MIXED).",2,33
Envision Energy,envision-energy,Envision Energy,FALSE,,POE,Privada: tecnologia eolica/energia (Zhang Lei). Fuente: Wikipedia Envision,1,33
China State Construction Engineering Corporation,china-state-construction-engineering-corporation,China State Construction Engineering,FALSE,,Local SOE,SASAC central SOE (CSCEC),1,30
Goldwind,goldwind,Goldwind,FALSE,,MIXED,"Cotizada, mayor accionista China Three Gorges ~21%, sin controlador >50%. Fuente: Wikipedia Goldwind -> OWNERSHIP CORREGIDO a POE (2026-07-07): hereda la correccion legacy/data/latam.json aplicada a la variante Xinjiang Goldwind del mismo company_id (ownership es por empresa, no por variante de nombre; era UNKNOWN).",1,27
Hebei Wenfeng Industrial Group,hebei-wenfeng-industrial-group,Hebei Wenfeng Industrial,FALSE,,POE,Privada: grupo industrial Hebei (metales). Verificar,1,26
Yapp Automotive Systems,yapp-automotive-systems,YAPP Automotive Systems,FALSE,,Central SOE,"Privada: sistemas de combustible automotriz (Yangzhou). Verificar -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Yapp Automotive Systems), reemplaza estimacion web previa (era POE).",1,24
Nanjing Red Sun,nanjing-red-sun,Red Sun,FALSE,,Local SOE,"Privada: Nanjing Red Sun agroquimicos cotizada. Verificar -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Nanjing Red Sun), reemplaza estimacion web previa (era POE).",1,23
Nuctech,nuctech,Nuctech,FALSE,,MIXED,Origen Tsinghua University (Tsinghua Tongfang); control estatal universitario. Fuente: Wikipedia Nuctech,1,21
Junefield,junefield,Junefield,FALSE,,POE,"Privada: Junefield (mineria/joyeria, Hong Kong). Verificar",1,21
Shanghai Fisheries General Corporation,shanghai-fisheries-general-corporation,Shanghai Fisheries General,FALSE,,Local SOE,SOE municipal Shanghai (pesca; parte de Bright Food / Shanghai SASAC). Verificar,1,21
Pengxin Agricultural Holdings Company Limited,shanghai-pengxin,Shanghai Pengxin,FALSE,,POE,"Vinculada a Shanghai Pengxin (privada, Jiang Zhaobai). Decision cliente: fusionar con shanghai-pengxin? -> FUSIONADO a id shanghai-pengxin (decision 2 aprobada, 2026-07-01).",1,20
Chongqing Huapont Pharm Co Ltd,chongqing-huapont-pharm-co-ltd,Chongqing Huapont Pharm,FALSE,,POE,Privada: farma/agroquimica cotizada (Chongqing). Verificar,1,20
Sinoma Blade,china-national-building-material,China National Building Material,FALSE,,Central SOE,"Filial de Sinoma/CNBM (SASAC central). Recomendacion: agrupar bajo CNBM -> FUSIONADO a id china-national-building-material (decision 2 aprobada, 2026-07-01).",1,20
Wuhan Fiberhome International Technologies,wuhan-fiberhome-international-technologies,Fiberhome,FALSE,,Central SOE,Fiberhome (FiberHome Technologies) - controlada por SASAC (matriz estatal). Fuente: Wikipedia Fiberhome,1,20
ZhengChang,zhengchang,Zhengchang,FALSE,,POE,Privada: maquinaria de piensos (Jiangsu Zhengchang). Verificar,1,19
AngelAlign,angelalign,Angelalign Technology,FALSE,,POE,Privada: ortodoncia cotizada HK (Angelalign). Verificar,1,19
Jiangxi Copper,jiangxi-copper,Jiangxi Copper,FALSE,,Local SOE,SOE provincial Jiangxi (Jiangxi Copper Corp). Fuente: Wikipedia Jiangxi Copper,1,18
HANAQ Group,hanaq-group,HANAQ,FALSE,,POE,"Privada: HANAQ (agro/comercio, Argentina-China). -> FUSIONADO con fila 'Hanaq' bajo id hanaq-group (confirmado Francisco por WhatsApp, 2026-07-07, tras aclarar el malentendido del correo).",1,15
China Jinjiang Environment Holding Company Limited,china-jinjiang-environment-holding-company-limited,China Jinjiang Environment,FALSE,,POE,Privada: waste-to-energy cotizada Singapur (Zhejiang). Verificar,1,15
Lenovo,lenovo,Lenovo,FALSE,,MIXED,"Mayor accionista Legend Holdings; Legend controlada parcialmente por Academia China de Ciencias (estatal) + privados. Propiedad mixta. Fuente: Wikipedia Lenovo -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Lenovo), reemplaza estimacion web previa (era MIXED).",1,14
Bluestar Silicones,sinochem-holdings,Sinochem Holdings,FALSE,,Central SOE,"Filial de China National Bluestar, subsidiaria de ChemChina (SASAC central). FUSIONADO a id chemchina (decision 2 aprobada, 2026-07-01). -> OWNERSHIP REVERTIDO a SASAC (2026-07-07): legacy/latam.json clasificaba SOE a la filial por su propio nombre, pero tras la fusion a la matriz rige el control ultimo (regla de la base). -> Reapuntado a sinochem-holdings (fusion Sinochem/ChemChina aprobada Francisco, correo 2026-07-02).",1,12
Johnson Electric,johnson-electric,Johnson Electric,FALSE,,POE,"Privada: Johnson Electric Holdings (Hong Kong, familia Wang). Fuente: Wikipedia Johnson Electric",1,12
Yangtze Optical Fibre and Cable,yangtze-optical-fibre-and-cable,Yangtze Optical Fibre and Cable,FALSE,,MIXED,FALSO 'and'. YOFC - JV con accionistas estatales (China Huaxin) y privados/extranjeros (Draka). Propiedad mixta. Verificar,1,12
Nexteer Automotive,nexteer-automotive,Nexteer Automotive,FALSE,,POE,"Controlada por AVIC (Aviation Industry Corp of China), SASAC central. Fuente: Wikipedia Nexteer -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Nexteer Automotive), reemplaza estimacion web previa (era SOE).",1,11
Solartech International Holdings,solartech-international-holdings,Solartech International,FALSE,,POE,Privada: holding solar cotizado HK. Verificar,1,10
Qihoo 360,qihoo-360,Qihoo 360,FALSE,,POE,Privada: ciberseguridad (Zhou Hongyi). Fuente: Wikipedia Qihoo 360,1,10
Gold Anda Agricultural Technology,gold-anda-agricultural-technology,Gold Anda Agricultural Technology,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,10
Hebei Huatong Wires and Cables,hebei-huatong-wires-and-cables,Hebei Huatong Wires and Cables,FALSE,,POE,FALSO 'and'. Privada: fabricante de cables Hebei. Verificar,1,10
BGI Genomics,bgi-genomics,BGI Genomics,FALSE,,POE,Privada: genomica (BGI Group; Wang Jian). Fuente: Wikipedia BGI,1,10
ExcellBio,excellbio,ExcellBio,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,10
Ningbo Tuopu Group,ningbo-tuopu-group,Tuopu,FALSE,,POE,Privada: autopartes Ningbo cotizada (Wu Jianshu). Verificar,1,9
Hytera,hytera,Hytera,FALSE,,POE,Privada: comunicaciones Shenzhen cotizada (Chen Qingzhou). Fuente: Wikipedia Hytera,2,8
Zoomlion,zoomlion,Zoomlion,FALSE,,MIXED,"Origen SOE Changsha (instituto estatal); reforma mixta, accionariado disperso. Propiedad mixta. Fuente: Wikipedia Zoomlion -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Zoomlion), reemplaza estimacion web previa (era MIXED).",1,8
Zhen Jiang No 2,zhen-jiang-no-2,Zhenjiang No.2,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,7
Hanaq,hanaq-group,HANAQ,FALSE,,POE,"Privada. -> FUSIONADO a id hanaq-group (misma entidad que fila 'HANAQ Group'; confirmado Francisco por WhatsApp, 2026-07-07).",1,6.3
Fenchem Biotek,fenchem-biotek,Fenchem Biotek,FALSE,,POE,Privada: ingredientes/nutricion Nanjing. Verificar,1,6
Sky Solar Holdings,sky-solar-holdings,Sky Solar,FALSE,,POE,Privada: desarrollador solar cotizado (Weili Su). Verificar,2,6
Advanced Optronic Devices Brasil,advanced-optronic-devices-brasil,Advanced Optronic Devices Brasil,FALSE,,POE,"Filial Brasil; matriz china no confirmada. Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Advanced Optronic Devices Brasil), reemplaza estimacion web previa (era UNKNOWN).",1,5
Sanxing Electric,sanxing-electric,Sanxing Electric,FALSE,,POE,Privada: equipos electricos (verificar). Control no confirmado,1,5
Maverick Motos,maverick-motos,Maverick Motos,FALSE,,UNKNOWN,Marca de motos en Brasil; matriz china no confirmada. Verificar,1,4
Fubao Food Company,fubao-food-company,Fubao Food,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,4
ReneSola,renesola,ReneSola,FALSE,,POE,Privada: solar cotizada (Li Xianshou). Fuente: Wikipedia ReneSola,1,4
Shanghai Kangzheng,shanghai-kangzheng,Shanghai Kangzheng,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,3
Traxx Motocicletas Do Brasil,traxx-motocicletas-do-brasil,Traxx Motocicletas Do Brasil,FALSE,,Central SOE,"Marca de motos en Brasil; matriz china no confirmada. Verificar -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Traxx Motocicletas Do Brasil), reemplaza estimacion web previa (era UNKNOWN).",1,3
Aihuishou,aihuishou,AiHuiShou (ATRenew),FALSE,,POE,Privada: reciclaje electronica cotizada NYSE (ATRenew). Verificar,1,3
ET Solar,et-solar,ET Solar,FALSE,,POE,Privada: fabricante solar (Nanjing). Verificar,1,3
Yingli Solar,yingli-solar,Yingli Green Energy,FALSE,,POE,Privada: fabricante solar (Miao Liansheng). Fuente: Wikipedia Yingli,1,3
eBaoTech Corporation,ebaotech-corporation,eBaoTech,FALSE,,POE,Privada: software de seguros (Shanghai). Verificar,1,3
China Natural Resources,china-natural-resources,China Natural Resources,FALSE,,POE,Privada: holding minero cotizado Nasdaq (Feize Zhang). Verificar,1,2
China Development Bank,china-development-bank,China Development Bank,FALSE,,Central SOE,Banco politico estatal (100% State Council via MOF/Central Huijin). Fuente: Wikipedia CDB,1,2
Cheetah Mobile,cheetah-mobile,Cheetah Mobile,FALSE,,POE,Privada: software movil (vinculada a Kingsoft; Fu Sheng). Fuente: Wikipedia Cheetah Mobile,1,2
Ample Auto,ample-auto,Ample Auto,FALSE,,POE,"Entidad poco documentada; control ultimo no confirmado. Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Ample Auto), reemplaza estimacion web previa (era UNKNOWN).",1,2
Chemchina,sinochem-holdings,Sinochem Holdings,FALSE,,Central SOE,"Variante de ChemChina (casing). SASAC central. -> Reapuntado a sinochem-holdings (fusion Sinochem/ChemChina aprobada Francisco, correo 2026-07-02).",1,2
Pingle,pingle,Pingle,FALSE,,POE,Privada: maquinaria de molienda (Hebei Pingle). Verificar,1,1
Export-Import Bank of China,export-import-bank-of-china,Export-Import Bank of China,FALSE,,Central SOE,Banco politico estatal (100% State Council). Fuente: Wikipedia EXIM Bank,1,1
CRRC Qingdao Sifang,crrc,CRRC,FALSE,,Central SOE,CRRC Qingdao Sifang = filial de CRRC. Fusionado a id crrc. Fuente: Wikipedia CRRC Qingdao Sifang,1,0
CCCC Shanghai Dredging,china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,"Filial de CCCC (SASAC central). Recomendacion: agrupar bajo china-communications-construction-company -> FUSIONADO a id china-communications-construction-company (decision 2 aprobada, 2026-07-01).",1,0
Dashang Group,dashang-group,Dashang,FALSE,,MIXED,"Dalian Dashang - origen SOE municipal, reforma mixta (retail). Verificar",1,0
COSCO and Xiaomi,cosco-and-xiaomi,COSCO and Xiaomi,TRUE,cosco|xiaomi,MIXED,"CONSORCIO. COSCO (SASAC) + Xiaomi (privada, Lei Jun). Definir atribucion",1,0
China Mingjin Group,china-mingjin-group,China Mingjin,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,0
ChemChina (Syngenta),sinochem-holdings,Sinochem Holdings,FALSE,,Central SOE,"Alias: Syngenta = activo adquirido por ChemChina 2017. SASAC central. -> Reapuntado a sinochem-holdings (fusion Sinochem/ChemChina aprobada Francisco, correo 2026-07-02).",1,0
Consorcio Sinohydro Corporation Limited (China) + Equipos Industriales S.A. (Honduras),powerchina,Power Construction Corporation of China,FALSE,,Central SOE,"Socio local hondureno -> es joint venture, no consorcio chino: el flag va en la base (regla 8), no aca. Lado chino = Sinohydro/PowerChina.",16,0
Texhong International Group / Danasun Energy (capital chino-hongkonés),texhong-danasun-consortium,Texhong International Group and Danasun Energy,TRUE,texhong|danasun-energy,UNKNOWN,"REVISAR (steward): dos empresas en una celda, capital chino-hongkones. Definir si el vehiculo es consorcio y el control ultimo de cada parte.",2,0
Comunications Construction Company Limited,china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,"Typo en la base: ""Comunications"" -> ""Communications"" (CCCC). Va a correcciones_cliente.",2,0
Anhui Foreign Economic Construction,afecc,Anhui Foreign Economic Construction,FALSE,,Local SOE,"AFECC: grupo de obras provincial de Anhui (SOE provincial, no SASAC central). Verificar.",1,0
Sinohydro Corporation Limited (PowerChina),powerchina,Power Construction Corporation of China,FALSE,,Central SOE,Alias de Sinohydro con la matriz entre parentesis.,1,0
Sinohydro Corporation Limited (PowerChina) — contratista EPC; propietaria: Energías Limpias del Yaguala S.A. de C.V. (privada hondureña),powerchina,Power Construction Corporation of China,FALSE,,Central SOE,"Lado chino = Sinohydro (filial PowerChina). REVISAR con el cliente: el raw dice contratista EPC con propietaria privada hondurena; si es solo obra, no es IED sino construccion.",1,0
American Recycling,american-recycling,American Recycling,FALSE,,UNKNOWN,REVISAR (steward): nombre no chino (Nicaragua); confirmar si el inversor es chino y su control ultimo.,1,0
China Investment Corporation (CIC),china-investment-corporation,China Investment Corporation,FALSE,,Central SOE,Alias con sigla (raw de Trinidad y Tobago). Mismo fondo soberano que la fila China Investment Corporation.,1,0
"China National Off-shore Oil (CNOOC), China Petroleum and Chemical (Sinopec)",cnooc-sinopec-consortium,China National Offshore Oil and Sinopec,TRUE,china-national-offshore-oil-corporation|sinopec,MIXED,"CONSORCIO. CNOOC + Sinopec, ambas SASAC central. Definir atribucion de monto (mismo criterio que cnpc+cnooc).",1,0
China Harbour Engineering Company Ltd. (CHEC),china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,"Alias de CHEC (filial de CCCC, SASAC central). Mismo criterio que la fila China Harbour Engineering Company.",1,0
Chaoyang Petroleum (BVI) Limited,chaoyang-petroleum,Chaoyang Petroleum,FALSE,,UNKNOWN,"REVISAR (steward): vehiculo registrado en BVI, control ultimo no confirmado.",1,0
Power Construction Corp. (PowerChina),powerchina,Power Construction Corporation of China,FALSE,,Central SOE,Alias del nombre completo de PowerChina.,1,0
